PID,Longitude,Latitude,Accuracy,Date
I,-0.3330742,39.4787176,3.000,2019-04-15 09:21:20
Z17,-0.3332013,39.478472,3.000,2019-04-15 09:22:19
Z18,-0.3334579,39.4773477,3.000,2019-04-15 09:25:14
J,-0.3340009,39.4769252,3.231,2019-04-16 17:24:49
Z01,-0.3353506,39.4773172,3.000,2019-04-16 17:26:52
Z02,-0.3374883,39.4779293,3.000,2019-04-16 17:28:20
K,-0.3382579,39.4781082,3.000,2019-04-16 17:29:07
L,-0.3401814,39.4786447,3.000,2019-04-16 17:30:26
M,-0.3419513,39.4792465,3.000,2019-04-16 17:32:00
Z03,-0.3408769,39.4789009,6.600,2019-04-16 17:34:22
N,-0.3431483,39.4795127,3.000,2019-04-16 17:35:57
Z04,-0.3439994,39.4797659,3.000,2019-04-16 17:36:54
O,-0.3449572,39.4800835,3.000,2019-04-16 17:37:59
Z05,-0.3458785,39.4803441,3.000,2019-04-16 17:38:57
Z06,-0.3459955,39.4803762,3.000,2019-04-16 17:39:38
P,-0.3470383,39.480652,3.000,2019-04-16 17:40:43
R,-0.3481363,39.4809852,3.000,2019-04-16 17:42:26
S,-0.3493902,39.4824087,3.000,2019-04-17 07:10:35
Z07,-0.3491344,39.4825609,3.000,2019-04-17 07:12:06
A,-0.3472055,39.4831925,3.000,2019-04-17 07:15:00
B,-0.3455583,39.4845647,3.000,2019-04-17 07:17:22
Z08,-0.3446487,39.4848853,3.000,2019-04-23 10:14:34
Z09,-0.3429943,39.4843713,4.340,2019-04-23 10:16:29
Z10,-0.3426319,39.4842847,3.000,2019-04-23 10:17:21
D,-0.3419547,39.4840535,3.000,2019-04-23 10:18:14
Z11,-0.3402841,39.483184,3.000,2019-04-23 10:19:57
Z12,-0.3407567,39.4829788,3.000,2019-04-23 10:20:59
F,-0.3405187,39.4824576,3.000,2019-04-23 10:22:01
Z13,-0.3398756,39.482617,3.000,2019-04-23 10:23:02
Z14,-0.3387982,39.4823036,3.000,2019-04-23 10:24:11
G,-0.3385188,39.4821269,3.000,2019-04-23 10:25:37
Z15,-0.3378557,39.4821194,3.000,2019-04-23 10:27:31
H,-0.336616,39.4815813,3.000,2019-04-23 10:28:36
Z16,-0.3361125,39.4815254,3.5,2019-04-23 10:29:26
